Name	Version	License
@svgr/babel-plugin-transform-react-native-svg	4.2.0	MIT
@svgr/babel-plugin-transform-svg-component	4.2.0	MIT
@svgr/babel-preset	4.3.3	MIT
@svgr/core	4.3.3	MIT
@svgr/hast-util-to-babel-ast	4.3.2	MIT
@svgr/plugin-jsx	4.3.3	MIT
@svgr/plugin-svgo	4.3.1	MIT
@svgr/webpack	4.3.3	MIT
@testing-library/dom	7.0.3	MIT
@testing-library/jest-dom	5.1.1	MIT
@testing-library/react	10.0.1	MIT
@types/anymatch	1.3.1	MIT
@types/babel__core	7.1.6	MIT
@types/babel__generator	7.6.1	MIT
@types/babel__template	7.0.2	MIT
@types/babel__traverse	7.0.9	MIT
@types/clone	0.1.30	MIT
@types/color-name	1.1.1	MIT
@types/eslint-visitor-keys	1.0.0	MIT
@types/events	3.0.0	MIT
@types/fast-json-stable-stringify	2.0.0	MIT
@types/glob	7.1.1	MIT
@types/istanbul-lib-coverage	2.0.1	MIT
@types/istanbul-lib-report	3.0.0	MIT
@types/istanbul-reports	1.1.1	MIT
@types/jest	25.1.4	MIT
@types/json-schema	7.0.4	MIT
@types/minimatch	3.0.3	MIT
@types/node	13.9.1	MIT
@types/parse-json	4.0.0	MIT
@types/prop-types	15.7.3	MIT
@types/q	1.5.2	MIT
@types/react	16.9.23	MIT
@types/react-dom	16.9.5	MIT
@types/sizzle	2.3.2	MIT
@types/source-list-map	0.1.2	MIT
@types/stack-utils	1.0.1	MIT
@types/tapable	1.0.5	MIT
@types/testing-library__dom	6.14.0	MIT
@types/testing-library__jest-dom	5.0.2	MIT
@types/testing-library__react	9.1.3	MIT
@types/uglify-js	3.0.4	MIT
@types/unist	2.0.3	MIT
@types/webpack	4.41.7	MIT
@types/webpack-sources	0.1.6	MIT
@types/yargs	13.0.8	MIT
@types/yargs	15.0.4	MIT
@types/yargs-parser	15.0.0	MIT
@typescript-eslint/eslint-plugin	2.23.0	MIT
@typescript-eslint/experimental-utils	2.23.0	MIT
@vxna/mini-html-webpack-template	1.0.0	MIT
@webassemblyjs/ast	1.8.5	MIT
@webassemblyjs/floating-point-hex-parser	1.8.5	MIT
@webassemblyjs/helper-api-error	1.8.5	MIT
@webassemblyjs/helper-buffer	1.8.5	MIT
@webassemblyjs/helper-code-frame	1.8.5	MIT
@webassemblyjs/helper-module-context	1.8.5	MIT
@webassemblyjs/helper-wasm-bytecode	1.8.5	MIT
@webassemblyjs/helper-wasm-section	1.8.5	MIT
@webassemblyjs/ieee754	1.8.5	MIT
@webassemblyjs/leb128	1.8.5	MIT
@webassemblyjs/utf8	1.8.5	MIT
@webassemblyjs/wasm-edit	1.8.5	MIT
@webassemblyjs/wasm-gen	1.8.5	MIT
@webassemblyjs/wasm-opt	1.8.5	MIT
@webassemblyjs/wasm-parser	1.8.5	MIT
@webassemblyjs/wast-parser	1.8.5	MIT
@webassemblyjs/wast-printer	1.8.5	MIT
accepts	1.3.7	MIT
acorn	6.4.1	MIT
acorn	7.1.1	MIT
acorn	5.7.4	MIT
acorn-dynamic-import	4.0.0	MIT
acorn-globals	4.3.4	MIT
acorn-jsx	5.2.0	MIT
acorn-walk	6.2.0	MIT
address	1.1.2	MIT
adjust-sourcemap-loader	2.0.0	MIT
aggregate-error	3.0.1	MIT
ajv	6.12.0	MIT
ajv-errors	1.0.1	MIT
ajv-keywords	3.4.1	MIT
alphanum-sort	1.0.2	MIT
ansi-colors	3.2.4	MIT
ansi-escapes	4.3.1	MIT
ansi-escapes	3.2.0	MIT
ansi-regex	4.1.0	MIT
ansi-regex	5.0.0	MIT
ansi-regex	2.1.1	MIT
ansi-regex	3.0.0	MIT
ansi-styles	3.2.1	MIT
ansi-styles	4.2.1	MIT
ansi-styles	2.2.1	MIT
any-observable	0.3.0	MIT
arch	2.1.1	MIT
argparse	1.0.10	MIT
arity-n	1.0.4	MIT
arr-diff	4.0.0	MIT
arr-flatten	1.1.0	MIT
arr-union	3.1.0	MIT
array-equal	1.0.0	MIT
array-flatten	2.1.2	MIT
array-flatten	1.1.1	MIT
array-includes	3.1.1	MIT
array-union	1.0.2	MIT
array-uniq	1.0.3	MIT
array-unique	0.3.2	MIT
array.prototype.flat	1.2.3	MIT
arrify	1.0.1	MIT
asap	2.0.6	MIT
asn1	0.2.4	MIT
asn1.js	4.10.1	MIT
assert	1.4.1	MIT
assert	1.5.0	MIT
assert-plus	1.0.0	MIT
assign-symbols	1.0.0	MIT
ast-types	0.13.2	MIT
ast-types	0.7.8	MIT
astral-regex	1.0.0	MIT
async	2.6.3	MIT
async	3.2.0	MIT
async-each	1.0.3	MIT
async-limiter	1.0.1	MIT
asynckit	0.4.0	MIT
autoprefixer	9.7.4	MIT
aws4	1.9.1	MIT
babel-code-frame	6.26.0	MIT
babel-eslint	10.0.3	MIT
babel-extract-comments	1.0.0	MIT
babel-jest	24.9.0	MIT
babel-loader	8.0.6	MIT
babel-plugin-dynamic-import-node	2.3.0	MIT
babel-plugin-jest-hoist	24.9.0	MIT
babel-plugin-macros	2.8.0	MIT
babel-plugin-named-asset-import	0.3.6	MIT
babel-plugin-syntax-object-rest-spread	6.13.0	MIT
babel-plugin-transform-object-rest-spread	6.26.0	MIT
babel-plugin-transform-react-remove-prop-types	0.4.24	MIT
babel-preset-jest	24.9.0	MIT
babel-preset-react-app	9.1.1	MIT
babel-runtime	6.26.0	MIT
babylon	6.18.0	MIT
bail	1.0.5	MIT
balanced-match	1.0.0	MIT
base	0.11.2	MIT
base64-arraybuffer	0.2.0	MIT
base64-js	1.3.1	MIT
batch	0.6.1	MIT
big.js	5.2.2	MIT
binary-extensions	1.13.1	MIT
binary-extensions	2.0.0	MIT
bindings	1.5.0	MIT
bluebird	3.7.2	MIT
bn.js	4.11.8	MIT
body-parser	1.19.0	MIT
bonjour	3.5.0	MIT
brace	0.11.1	MIT
brace-expansion	1.1.11	MIT
braces	2.3.2	MIT
braces	3.0.2	MIT
brorand	1.1.0	MIT
browser-resolve	1.11.3	MIT
browserify-aes	1.2.0	MIT
browserify-cipher	1.0.1	MIT
browserify-des	1.0.2	MIT
browserify-rsa	4.0.1	MIT
browserify-zlib	0.2.0	MIT
browserslist	4.9.1	MIT
browserslist	4.8.6	MIT
browserslist	4.7.0	MIT
buble	0.19.8	MIT
buffer	4.9.2	MIT
buffer-crc32	0.2.13	MIT
buffer-from	1.1.1	MIT
buffer-indexof	1.1.1	MIT
buffer-xor	1.0.3	MIT
builtin-status-codes	3.0.0	MIT
bytes	3.0.0	MIT
bytes	3.1.0	MIT
cache-base	1.0.1	MIT
cachedir	2.3.0	MIT
call-me-maybe	1.0.1	MIT
caller-callsite	2.0.0	MIT
caller-path	2.0.0	MIT
callsites	3.1.0	MIT
callsites	2.0.0	MIT
camel-case	4.1.1	MIT
camelcase	5.3.1	MIT
camelcase	5.0.0	MIT
caniuse-api	3.0.0	MIT
case-sensitive-paths-webpack-plugin	2.3.0	MIT
ccount	1.0.5	MIT
chalk	2.4.2	MIT
chalk	3.0.0	MIT
chalk	1.1.3	MIT
character-entities	1.2.4	MIT
character-entities-html4	1.1.4	MIT
character-entities-legacy	1.1.4	MIT
character-reference-invalid	1.1.4	MIT
chardet	0.7.0	MIT
check-more-types	2.24.0	MIT
chokidar	2.1.8	MIT
chokidar	3.3.1	MIT
chrome-trace-event	1.0.2	MIT
ci-info	2.0.0	MIT
cipher-base	1.0.4	MIT
class-utils	0.3.6	MIT
classnames	2.2.6	MIT
clean-css	4.2.3	MIT
clean-stack	2.2.0	MIT
clean-webpack-plugin	3.0.0	MIT
cli-cursor	3.1.0	MIT
cli-cursor	1.0.2	MIT
cli-cursor	2.1.0	MIT
cli-spinners	2.2.0	MIT
cli-truncate	0.2.1	MIT
clipboard	2.0.6	MIT
clipboard-copy	3.1.0	MIT
clone	2.1.2	MIT
clone	1.0.4	MIT
clone-deep	4.0.1	MIT
clone-deep	0.2.4	MIT
clsx	1.1.0	MIT
co	4.6.0	MIT
coa	2.0.2	MIT
code-point-at	1.1.0	MIT
collapse-white-space	1.0.6	MIT
collection-visit	1.0.0	MIT
color	3.1.2	MIT
color-convert	1.9.3	MIT
color-convert	2.0.1	MIT
color-name	1.1.3	MIT
color-name	1.1.4	MIT
color-string	1.5.3	MIT
combined-stream	1.0.8	MIT
commander	2.20.3	MIT
commander	4.1.1	MIT
commander	4.1.0	MIT
commander	2.1.0	MIT
common-dir	3.0.0	MIT
common-sequence	2.0.0	MIT
common-tags	1.8.0	MIT
commondir	1.0.1	MIT
component-emitter	1.3.0	MIT
compose-function	3.0.3	MIT
compressible	2.0.18	MIT
compression	1.7.4	MIT
concat-map	0.0.1	MIT
concat-stream	1.6.2	MIT
confusing-browser-globals	1.0.9	MIT
connect-history-api-fallback	1.6.0	MIT
console-browserify	1.2.0	MIT
constants-browserify	1.0.0	MIT
contains-path	0.1.0	MIT
content-disposition	0.5.3	MIT
content-type	1.0.4	MIT
convert-source-map	1.7.0	MIT
convert-source-map	0.3.5	MIT
cookie	0.4.0	MIT
cookie-signature	1.0.6	MIT
copy-descriptor	0.1.1	MIT
copy-webpack-plugin	5.1.1	MIT
core-js	1.2.7	MIT
core-js	3.6.4	MIT
core-js	2.6.11	MIT
core-js-compat	3.6.4	MIT
core-js-pure	3.6.4	MIT
core-util-is	1.0.2	MIT
cosmiconfig	5.2.1	MIT
cosmiconfig	6.0.0	MIT
create-ecdh	4.0.3	MIT
create-hash	1.2.0	MIT
create-hmac	1.1.7	MIT
create-react-class	15.6.3	MIT
cross-fetch	3.0.4	MIT
cross-spawn	6.0.5	MIT
cross-spawn	7.0.1	MIT
crypto-browserify	3.12.0	MIT
css	2.2.4	MIT
css-color-names	0.0.4	MIT
css-declaration-sorter	4.0.1	MIT
css-line-break	1.1.1	MIT
css-loader	3.4.2	MIT
css-select-base-adapter	0.1.1	MIT
css-tree	1.0.0-alpha.37	MIT
css.escape	1.5.1	MIT
cssesc	3.0.0	MIT
cssesc	2.0.0	MIT
cssnano	4.1.10	MIT
cssnano-preset-default	4.0.7	MIT
cssnano-util-get-arguments	4.0.0	MIT
cssnano-util-get-match	4.0.0	MIT
cssnano-util-raw-cache	4.0.1	MIT
cssnano-util-same-parent	4.0.1	MIT
csso	4.0.2	MIT
cssom	0.3.8	MIT
cssstyle	1.4.0	MIT
csstype	2.6.9	MIT
cyclist	1.0.1	MIT
cypress	4.1.0	MIT
dashdash	1.14.1	MIT
data-urls	1.1.0	MIT
date-fns	1.30.1	MIT
debug	4.1.1	MIT
debug	2.6.9	MIT
debug	3.2.6	MIT
decamelize	1.2.0	MIT
decode-uri-component	0.2.0	MIT
deep-diff	0.3.8	MIT
deep-equal	1.1.1	MIT
deep-is	0.1.3	MIT
defaults	1.0.3	MIT
define-properties	1.1.3	MIT
define-property	2.0.2	MIT
define-property	1.0.0	MIT
define-property	0.2.5	MIT
del	4.1.1	MIT
delayed-stream	1.0.0	MIT
delegate	3.2.0	MIT
depd	1.1.2	MIT
des.js	1.0.1	MIT
destroy	1.0.4	MIT
detect-newline	2.1.0	MIT
detect-port-alt	1.1.6	MIT
diff-sequences	24.9.0	MIT
diff-sequences	25.1.0	MIT
diffie-hellman	5.0.3	MIT
dir-glob	2.0.0	MIT
dir-glob	2.2.2	MIT
dns-equal	1.0.0	MIT
dns-packet	1.3.1	MIT
dns-txt	2.0.2	MIT
dom-accessibility-api	0.3.0	MIT
dom-converter	0.2.0	MIT
dom-helpers	5.1.3	MIT
dom-serializer	0.2.2	MIT
domain-browser	1.2.0	MIT
